Urbanization_level,Age,Self_efficacy,Inservice_training,Digital_activity,Gender,Information_skills,Teacher_type
3,51,0.2,0.2,0.5,0,1.50555555555556,0
3,44, , ,0.275,0,1.50555555555556,0
1,34,0.8,0.2,0.55,0,1.50694444444444,0
1,32, , ,0.6,0,1.52777777777778,0
3,38,1,1,0.6,0,1.52777777777778,0
1,61, , ,0.375,0,1.55555555555556,0
3,40,1,1,0.55,1,1.56111111111111,0
1,43,0.8,0.8,0.425,1,1.56944444444444,0
3,42,0.8,0.6,0.575,0,1.56944444444444,0
3,43,0.6,0,0.55,1,1.56944444444444,0
3,34, , ,0.6,0,1.57638888888889,0
3,30,1,0.4,0.625,0,1.60277777777778,0
2,37,1,1,0.525,1,1.61111111111111,0
3,51,0.6,0,0.4,1,1.63194444444444,0
3,34,1,0,0.575,0,1.63888888888889,0
1,36, , ,0.575,1,1.63888888888889,0
3,44,0.8,0.2,0.525,0,1.75694444444444,0
3,32, , ,0.725,1,1.80555555555556,0
1,50,0.2,0,0.475,0,0.658333333333333,0
2,53,0,0,0.35,0,0.672222222222222,0
3,58, , ,0.55,0,0.748611111111111,0
3,48,0.4,0,0.45,0,0.756944444444444,0
3,62, , ,0.225,1,0.8,0
3,44, , ,0.575,0,0.851388888888889,0
1,42, , ,0.5,0,0.859722222222222,0
3,47, , ,0.35,0,0.901388888888889,0
3,49,0.2,0,0.475,0,0.902777777777778,0
3,41,0,0,0.5,0,0.902777777777778,0
3,59,1,0.2,0.425,0,0.909722222222222,0
2,59, , ,0.425,1,0.963888888888889,0
3,49,0,0,0.375,0,0.972222222222222,0
2,49,0,0,0.55,0,0.984722222222222,0
3,65,0,0,0.4,0,0.991666666666667,0
3,51, , ,0.3,0,1.02916666666667,0
3,53, , ,0.375,0,1.03333333333333,0
3,49, , ,0.475,0,1.04166666666667,0
3,48,0.4,0.4,0.425,0,1.04166666666667,0
1,49,0.2,0,0.4,0,1.05277777777778,0
2,61, , ,0.75,0,1.05555555555556,0
3,49, , ,0.425,0,1.06666666666667,0
3,47,0.4,0,0.375,0,1.16666666666667,0
1,46, , ,0.5,0,1.17361111111111,0
3,44,0.8,0.6,0.525,0,1.17361111111111,0
2,56,1,0.2,0.425,0,1.18055555555556,0
3,44,0.8,0,0.5,0,1.18055555555556,0
2,48,1,1,0.55,0,1.19444444444444,0
3,60, , ,0.55,0,1.2,0
1,43,0.6, ,0.4,0,1.2625,0
3,33, , ,0.45,0,1.27083333333333,0
3,43,1,1,0.6,0,1.27777777777778,0
1,34,0.4,0.4,0.425,0,1.29166666666667,0
3,38, , ,0.375,0,1.29166666666667,0
3,36,0.2,0.2,0.525,0,1.29861111111111,0
1,27, , ,0.55,0,1.29861111111111,0
3,29,0.6,0.2,0.425,0,1.30416666666667,0
3,44,0,0,0.275,0,1.30555555555556,0
3,32, , ,0.375,0,1.30555555555556,0
3,29, , ,0.35,0,1.33333333333333,0
3,57, , ,0.45,1,1.33888888888889,0
1,45, , ,0.5,0,1.34722222222222,0
3,47,1,0.8,0.45,0,1.34722222222222,0
3,36,0.2,0,0.5,0,1.35416666666667,0
3,37, , ,0.375,1,1.35416666666667,0
3,32,0.8,0.6,0.55,0,1.36111111111111,0
3,37,0.8,0,0.45,1,1.375,0
3,48,0.2,0.2,0.375,0,1.38888888888889,0
3,53,0,0,0.425,0,1.38888888888889,0
3,53,0.2,0.2,0.55,0,1.38888888888889,0
3,56, , ,0.425,0,1.41666666666667,0
1,32,0.6,0.6,0.375,0,1.41666666666667,0
2,35, , ,0.525,0,1.44444444444444,0
3,35,0.4,0.4,0.65,0,1.45,0
3,34,0.6,0,0.45,0,1.45138888888889,0
3,58,0.2,0.2,0.45,0,1.45833333333333,0
3,51, , ,0.575,0,1.46388888888889,0
3,50,0.6,0,0.35,0,1.48611111111111,0
1,41, , ,0.425,0,1.48611111111111,0
3,34,0.4,0.2,0.425,0,1.49305555555556,0
3,40,0.6,0,0.475,1,1.5,0
3,34,1,0.8,0.575,0,1.51944444444444,0
1,51,1,0.4,0.525,0,1.52638888888889,0
3,63,0,0,0.425,1,1.52777777777778,0
3,40, , ,0.625,1,1.53333333333333,0
3,29, , ,0.5,0,1.53472222222222,0
1,46,0.2,0.2,0.475,0,1.54166666666667,0
3,40, , ,0.6,1,1.55555555555556,0
1,50, , ,0.45,0,1.56111111111111,0
3,57,0.6,0,0.475,1,1.58333333333333,0
1,41,0.6,0.2,0.5,0,1.59027777777778,0
3,56, , ,0.525,1,1.61111111111111,0
1,29, , ,0.575,0,1.61805555555556,0
3,42,0.6,0,0.5,0,1.625,0
1,50, , ,0.65,0,1.625,0
